Nama Rumah Sakit,Kode Rumah Sakit,Jenis Rumah Sakit,URL,Tanggal Registrasi,Alamat,Kab/Kota,Kodepos,Telp,Kelas Rumah Sakit,Direktur,Penyelenggara,Update,Fax,Email,Humas,Website,Dokter Spesialis Anak,Dokter Spesialis Obstetri dan Ginekologi,Dokter Spesialis Penyakit Dalam,Dokter Spesialis Bedah,Dokter Spesialis Radiologi,Dokter Spesialis Rehabilitasi Medik,Dokter Spesialis Anestesiologi dan Terapi Intensif,Dokter Spesialis Jantung dan Pembuluh Darah,Dokter Spesialis Mata,Dokter Spesialis Telinga Hidung Tenggorokan,Dokter Spesialis Kedokteran Jiwa atau Psikiatri,Dokter Umum,Dokter GIGI,Dokter Spesialis GIGI,Perawat,Bidan,Farmasi,Tenaga Kesehatan Lainnya,Kamar VVIP,Kamar VIP,Kamar Kelas Satu,Kamar Kelas Dua,Kamar Kelas Tiga,Tenaga Kerja Non Kesehatan,Luas Tanah,Luas Bangunan,No Surat Izin,Tanggal Surat Izin,Surat Izin dari,Sifat Surat Izin
RSU PKU Muhamadiyah Gombong,3305066,RSU,https://medicalclinic.id/rumah-sakit/daerah/kebumen/rsu-pku-muhamadiyah-gombong.html,  03/01/2017, Jl. Yos Sudarso 461 Gombong Kebumen, Kebumen, 54412, 0287-471780, C," dr. H.Ibnu Naser A, S.Ag MMR", Organisasi Islam, 29/06/2017, 0287-473614, rspkumuhammadiyahgb@gmail.com, -, http://rspkugombong.com, 2,-, 3, 3, 1, 1, 2, 2, 2, 2,  1, 17, 3,-, 161, 28, 9, 43, 7 Ruang, 8 Ruang, 18 Ruang, 20 Ruang, 84 Ruang, 155, 39.095 m2," 9.930,68 m2", 503/05.06/KEP/III/2016, 11/03/2016, Kepala BPMPT kebumen, Tetap
RSU Bhakti Medicare,3202084,RSU,https://medicalclinic.id/rumah-sakit/daerah/sukabumi/rsu-bhakti-medicare.html,  07/01/2011," Jl. Raya Siliwangi No.186B, Cicurug - Sukabumi", Sukabumi, 43359, 0266 - 731555, C," dr. Rahmini Shabariah, Sp.A", Swasta/Lainnya, 29/06/2017, 02666 - 731899, bhaktimedicare@rocketmail.com, -, rsbhaktimedicare.blogspot.com, 3,-, 2, 3, 1, 1, 3,-, 1, 1,  1, 12, 3,-, 65, 6, 7, 11, Ruang, 2 Ruang, 11 Ruang, 26 Ruang, 24 Ruang, 57, 5.930 m2, 4.408 m2, 445/Kep.434-Dinkes/2017, 10/05/2017, BUPATI SUKABUMI, Perpanjang
RSK  Bedah Surabaya,3578772,RSK Bedah,https://medicalclinic.id/rumah-sakit/daerah/kota-surabaya/rsk--bedah-surabaya.html,  29/06/2017," Jl. Manyar No.9, Surabaya", Kota Surabaya, 60284, 0315999369, B," dr. Widorini Sunaryo,MARS", Perusahaan, 29/06/2017, 0315995284, sekretariat@rsbedah-sby.com, 081615100500, www.rsbs.co.id, 2,-, 3, 4, 1, 3, 5, 1, 1, 1,  0, 5, 1, 1, 43, 3, 4, 3, 2 Ruang, 3 Ruang, 7 Ruang, 27 Ruang, 20 Ruang,-, 4.411 m2, 8.570 m2, P2T/10/03.23/01/XI/2013, 18/11/2013, Pemerintah Provinsi Jawa Timur, Tetap
RSIA Melinda,3571148,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-kediri/rsia-melinda.html,  17/02/2012, Jl. Balowerti II No. 59, Kota Kediri, 64121, 0354 - 691016/F, Belum ditetapkan, dr. Dibya Arfianda, Organisasi Sosial, 29/06/2017,-, melinda.rsia@yahoo.com, 0354 - 673225, -, 1,-,-,-,-,-, 1,-,-,-,  0, 2,-,-, 23, 15, 1, 1, Ruang, Ruang, 5 Ruang, 5 Ruang, 6 Ruang, 14, 2630 m2, 719 m2, 503/0919/RSB/419.64/2015, 23/02/2015, Badan Penanaman Modal Kota Kediri, Perpanjang
RSB Gladiool,3371105,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-magelang/rsb-gladiool.html,  00/00/0000," Jl. Kenanga No.4-6,Magelang", Kota Magelang, 56122, 0293 362702, C," Dr.dr.Luciana B. Sutanto, MS.,Sp.Gk", Organisasi Sosial, 27/06/2017, 0293 361779, rsgladiool@yahoo.com, 0293 362702, www.gladiool.com, 3,-, 1,-,-,-, 2,-,-,-,  0, 8,-,-, 17, 7, 1, 8, 3 Ruang, 3 Ruang, 3 Ruang, 3 Ruang, 2 Ruang, 25, 1899 m2," 920,87 m2", 455/001/330/RS1/2017, 08/06/2017, Walikota, Tetap
RSUD Kab. Buleleng,5108016,RSU,https://medicalclinic.id/rumah-sakit/daerah/buleleng/rsud-kab.-buleleng.html,  03/03/2013, Jl. Ngurah Rai 30 Singaraja, Buleleng, 81112, 0362-22046, B," dr. Gede Wiartana, M.Kes", Pemkab, 27/06/2017, 0362-29629, rsud_buleleng@yahoo.com, 0362-22046, http://www.rsud.bulelengkab.go.id, 2,-, 3, 3, 2,-, 5, 1, 2, 2,  1, 27, 7,-, 127, 86, 12, 78, 23 Ruang, 28 Ruang, 24 Ruang, 22 Ruang, 187 Ruang, 558, 31.309 m2, 13.860 m2, 440/14392.6/BPMP, 12/10/2016, Gubernur Bali, Perpanjang
RSU Widodo,3521014,RSU,https://medicalclinic.id/rumah-sakit/daerah/ngawi/rsu-widodo.html,  28/03/2013, Jl. Yos Sudarso 8 Ngawi, Ngawi, 63217, 0351-746777, Belum ditetapkan," dr. Pudjo Sardjono, MSi", Perorangan, 23/06/2017, 0351-747577, rswidodo557@gmail.com, 0351-746777,-, 2,-, 3, 1, 3, 1, 3,-, 1, 1,  0, 4, 2,-, 78, 6, 3, 16, 4 Ruang, 12 Ruang, 6 Ruang, 33 Ruang, 24 Ruang, 92," 2048,15 m2"," 1741,75 m2", 440/1575/404.102/RS/2014, 23/10/2014, Bupati Ngawi, Perpanjang
RSU Bina Sehat,3273442,RSU,https://medicalclinic.id/rumah-sakit/daerah/bandung/rsu-bina-sehat.html,  16/03/2016, Jl. Raya Dayeuh Kolot No.325 Bandung, Bandung, 40527, 022-5207963, D," Dr. H. Guntur Alamsyah,MARS", Organisasi Sosial, 22/06/2017, 022-5207964, rsbinasehat@yahoo.co.id, -, -, 3,-, 3, 1, 2, 1, 3,-,-,-,  0, 9, 3,-,-,-, 1,-, Ruang, 2 Ruang, 4 Ruang, 23 Ruang, 31 Ruang,-, 2.807 m2," 1867,76 m2", 445/Kep.560-Dinkes/2014, 03/11/2014, Bupati Bandung, Tetap
RSU Palang Biro Gombong,3305033,RSU,https://medicalclinic.id/rumah-sakit/daerah/kebumen/rsu-palang-biro-gombong.html,  20/03/2017, Jl. Kartini no. 37 Gombong Kebumen, Kebumen, 54411, 0287- 471290, C," dr. Yohanes L.Benu,MARS", Organisasi Sosial, 22/06/2017, 0287-47322, rspalangbirugombong@gmail.com, (0287)471290, -, 1,-, 2, 2, 1,-, 1,-,-,-,  0, 8, 1, 1, 60, 9, 1, 37, 4 Ruang, 17 Ruang, 9 Ruang, 14 Ruang, 48 Ruang, 67, 7.162 m2, 7.160 m2, 503/01/KEP/VII/2013, 25/07/2013, KPPT & Penanaman Modal, Tetap
RSU Baptis Kediri,3571042,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-kediri/rsu-baptis-kediri.html,  00/00/0000, Jl. Mauni 1-7 Kediri, Kota Kediri, 64102," 684172, 682170", B," dr. Andreas Andoko, M.Kes.,M.Th", Organisasi Protestan, 22/06/2017, 681173, rsbaptiskediri@yahoo.com, 684172 EXT 8100, www.rsbaptiskediri.com, 3,-, 3, 3, 1, 1, 1, 1, 1, 1,  1, 11, 4, 1,-, 12, 4,-, 24 Ruang, 4 Ruang, 28 Ruang, 77 Ruang, 46 Ruang, 104, 21202 m2, 15470.26 m2, P2T/4/03.23/02/IX/2014, 05/09/2014, BPM UPT PEL.PERIZINAN TERPADU JATIM, Tetap
